"indicator_name" "num_avail"
"Gross fixed capital formation (% of GDP)" 51
"Gross fixed capital formation (annual % growth)" 48
"Gross fixed capital formation (constant 2010 US$)" 49
"Gross fixed capital formation (constant LCU)" 49
"Gross fixed capital formation (current LCU)" 51
"Gross fixed capital formation (current US$)" 51
"Gross fixed capital formation, private sector (% of GDP)" 40
"Gross fixed capital formation, private sector (current LCU)" 40
"Gross intake ratio to Grade 1 of primary education, both sexes (%)" 43
"Gross intake ratio to Grade 1 of primary education, female (%)" 39
"Gross intake ratio to Grade 1 of primary education, male (%)" 39
"Gross national expenditure (% of GDP)" 51
"Gross national expenditure (constant 2010 US$)" 49
"Gross national expenditure (constant LCU)" 49
"Gross national expenditure (current LCU)" 51
"Gross national expenditure (current US$)" 51
"Gross national expenditure deflator (base year varies by country)" 49
"Gross savings (% of GDP)" 40
"Gross savings (% of GNI)" 40
"Gross savings (current LCU)" 40
"Gross savings (current US$)" 40
"Gross value added at factor cost (constant 2010 US$)" 51
"Gross value added at factor cost (constant LCU)" 51
"Gross value added at factor cost (current LCU)" 51
"Gross value added at factor cost (current US$)" 51
"Health expenditure per capita (current US$)" 20
"Health expenditure per capita, PPP (constant 2011 international $)" 20
"Health expenditure, private (% of GDP)" 20
"Health expenditure, public (% of GDP)" 20
"Health expenditure, public (% of government expenditure)" 20
"Health expenditure, public (% of total health expenditure)" 20
"Health expenditure, total (% of GDP)" 20
"HFC gas emissions (thousand metric tons of CO2 equivalent)" 5
"High-technology exports (% of manufactured exports)" 26
"High-technology exports (current US$)" 26
"Hospital beds (per 1,000 people)" 19
"Household final consumption expenditure (annual % growth)" 48
"Household final consumption expenditure (constant 2010 US$)" 49
"Household final consumption expenditure (constant LCU)" 49
"Household final consumption expenditure (current LCU)" 51
"Household final consumption expenditure (current US$)" 51
"Household final consumption expenditure per capita (constant 2010 US$)" 49
"Household final consumption expenditure per capita growth (annual %)" 48
"Household final consumption expenditure, etc. (% of GDP)" 51
"Household final consumption expenditure, etc. (annual % growth)" 48
"Household final consumption expenditure, etc. (constant 2010 US$)" 49
"Household final consumption expenditure, etc. (constant LCU)" 49
"Household final consumption expenditure, etc. (current LCU)" 51
"Household final consumption expenditure, etc. (current US$)" 51
"Household final consumption expenditure, PPP (constant 2011 international $)" 24
"Household final consumption expenditure, PPP (current international $)" 26
"IBRD loans and IDA credits (DOD, current US$)" 46
"ICT goods exports (% of total goods exports)" 14
"ICT goods imports (% total goods imports)" 14
"ICT service exports (% of service exports, BoP)" 40
"ICT service exports (BoP, current US$)" 40
"IDA grants (current US$)" 46
"IDA resource allocation index (1=low to 6=high)" 0
"IFC, private nonguaranteed (NFL, current US$)" 46
"IMF charges (INT, current US$)" 33
"IMF purchases (DIS, current US$)" 11
"IMF repurchases (AMT, current US$)" 19
"IMF repurchases and charges (TDS, current US$)" 37
"Immunization, DPT (% of children ages 12-23 months)" 33
"Immunization, HepB3 (% of one-year-old children)" 16
"Immunization, measles (% of children ages 12-23 months)" 34
"Import value index (2000 = 100)" 36
"Import volume index (2000 = 100)" 36
"Imports of goods and services (% of GDP)" 51
"Imports of goods and services (annual % growth)" 48
"Imports of goods and services (BoP, current US$)" 40
"Imports of goods and services (constant 2010 US$)" 49
"Imports of goods and services (constant LCU)" 49
"Imports of goods and services (current LCU)" 51
"Imports of goods and services (current US$)" 51
"Imports of goods, services and primary income (BoP, current US$)" 40
"Improved sanitation facilities (% of population with access)" 26
"Improved sanitation facilities, rural (% of rural population with access)" 26
"Improved sanitation facilities, urban (% of urban population with access)" 26
"Improved water source (% of population with access)" 26
"Improved water source, rural (% of rural population with access)" 26
"Improved water source, urban (% of urban population with access)" 26
"Incidence of HIV (% of uninfected population ages 15-49)" 26
"Incidence of malaria (per 1,000 population at risk)" 0
"Incidence of tuberculosis (per 100,000 people)" 16
"Income share held by fourth 20%" 6
"Income share held by highest 10%" 6
"Income share held by highest 20%" 6
"Income share held by lowest 10%" 6
"Income share held by lowest 20%" 6
"Income share held by second 20%" 6
"Income share held by third 20%" 6
"Industry, value added (% of GDP)" 51
"Industry, value added (annual % growth)" 50
"Industry, value added (constant 2010 US$)" 51
"Industry, value added (constant LCU)" 51
"Industry, value added (current LCU)" 51
"Industry, value added (current US$)" 51
"Inflation, consumer prices (annual %)" 32
"Inflation, GDP deflator (annual %)" 50
"Informal employment (% of total non-agricultural employment)" 0
"Informal employment, female (% of total non-agricultural employment)" 0
"Informal employment, male (% of total non-agricultural employment)" 0
"Informal payments to public officials (% of firms)" 1
"Insurance and financial services (% of commercial service exports)" 40
"Insurance and financial services (% of commercial service imports)" 39
"Insurance and financial services (% of service exports, BoP)" 40
"Insurance and financial services (% of service imports, BoP)" 39
"Intentional homicides (per 100,000 people)" 8
"Interest arrears, long-term DOD (US$)" 45
"Interest arrears, official creditors (current US$)" 45
"Interest arrears, private creditors (current US$)" 42
"Interest forgiven (current US$)" 1
"Interest payments (% of expense)" 23
"Interest payments (% of revenue)" 23
"Interest payments (current LCU)" 23
"Interest payments on external debt (% of exports of goods, services and primary income)" 40
"Interest payments on external debt (% of GNI)" 46
"Interest payments on external debt, long-term (INT, current US$)" 47
"Interest payments on external debt, private nonguaranteed (PNG) (INT, current US$)" 38
"Interest payments on external debt, public and publicly guaranteed (PPG) (INT, current US$)" 46
"Interest payments on external debt, short-term (INT, current US$)" 36
"Interest payments on external debt, total (INT, current US$)" 46
"Interest rate spread (lending rate minus deposit rate, %)" 11
"Interest rescheduled (capitalized) (current US$)" 1
"Interest rescheduled, official (current US$)" 1
"Interest rescheduled, private (current US$)" 0
"Internally displaced persons (number, high estimate)" 1
"Internally displaced persons (number, low estimate)" 0
"International migrant stock (% of population)" 6
"International migrant stock, total" 12
"International tourism, expenditures (% of total imports)" 20
"International tourism, expenditures (current US$)" 20
"International tourism, expenditures for passenger transport items (current US$)" 20
"International tourism, expenditures for travel items (current US$)" 20
"International tourism, number of arrivals" 20
"International tourism, number of departures" 17
"International tourism, receipts (% of total exports)" 20
"International tourism, receipts (current US$)" 20
"International tourism, receipts for passenger transport items (current US$)" 20
"International tourism, receipts for travel items (current US$)" 20
"Internationally-recognized quality certification (% of firms)" 1
"Internet users (per 100 people)" 23
"Investment in energy with private participation (current US$)" 4
"Investment in telecoms with private participation (current US$)" 13
"Investment in transport with private participation (current US$)" 1
"Investment in water and sanitation with private participation (current US$)" 1
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)" 25
"Labor force participation rate for ages 15-24, female (%) (national estimate)" 6
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)" 25
"Labor force participation rate for ages 15-24, male (%) (national estimate)" 6
"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)" 25
"Labor force participation rate for ages 15-24, total (%) (national estimate)" 7
"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)" 25
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)" 25
"Labor force participation rate, female (% of female population ages 15+) (national estimate)" 15
"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)" 25
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)" 25
"Labor force participation rate, male (% of male population ages 15+) (national estimate)" 15
"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)" 25
"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)" 25
"Labor force participation rate, total (% of total population ages 15+) (national estimate)" 15
"Labor force with primary education (% of total)" 8
"Labor force with primary education, female (% of female labor force)" 2
"Labor force with primary education, male (% of male labor force)" 2
"Labor force with secondary education (% of total)" 8
"Labor force with secondary education, female (% of female labor force)" 2
"Labor force with secondary education, male (% of male labor force)" 2
"Labor force with tertiary education (% of total)" 8
"Labor force with tertiary education, female (% of female labor force)" 2
"Labor force with tertiary education, male (% of male labor force)" 2
"Labor force, female (% of total labor force)" 25
"Labor force, total" 25
"Labor tax and contributions (% of commercial profits)" 4
"Land area (sq. km)" 55
"Land area where elevation is below 5 meters (% of total land area)" 3
"Land under cereal production (hectares)" 54
"Law mandates equal remuneration for females and males for work of equal value (1=yes; 0=no)" 2
"Law mandates nondiscrimination based on gender in hiring (1=yes; 0=no)" 4
"Law mandates paid or unpaid maternity leave (1=yes; 0=no)" 4
"Law prohibits or invalidates child or early marriage (1=yes; 0=no)" 1
"Lead time to export, median case (days)" 5
"Lead time to import, median case (days)" 5
"Legislation exists on domestic violence (1=yes; 0=no)" 2
"Lending interest rate (%)" 12
"Life expectancy at birth, female (years)" 55
"Life expectancy at birth, male (years)" 55
"Life expectancy at birth, total (years)" 55
"Lifetime risk of maternal death (%)" 26
"Lifetime risk of maternal death (1 in: rate varies by country)" 26
"Liner shipping connectivity index (maximum value in 2004 = 100)" 13
"Listed domestic companies, total" 11
"Literacy rate, adult female (% of females ages 15 and above)" 9
"Literacy rate, adult male (% of males ages 15 and above)" 9
"Literacy rate, youth (ages 15-24), gender parity index (GPI)" 9
"Literacy rate, youth female (% of females ages 15-24)" 9
"Literacy rate, youth male (% of males ages 15-24)" 9
"Livestock production index (2004-2006 = 100)" 53
"Logistics performance index: Ability to track and trace consignments (1=low to 5=high)" 5
"Logistics performance index: Competence and quality of logistics services (1=low to 5=high)" 5
"Logistics performance index: Ease of arranging competitively priced shipments (1=low to 5=high)" 5
"Logistics performance index: Efficiency of customs clearance process (1=low to 5=high)" 5
"Logistics performance index: Frequency with which shipments reach consignee within scheduled or expected time (1=low to 5=high)" 5
"Logistics performance index: Overall (1=low to 5=high)" 5
"Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high)" 5
"Long-term unemployment (% of total unemployment)" 2
"Long-term unemployment, female (% of female unemployment)" 2
"Long-term unemployment, male (% of male unemployment)" 2
"Losses due to theft, robbery, vandalism, and arson (% sales)" 1
"Low-birthweight babies (% of births)" 3
"Lower secondary completion rate, female (% of relevant age group)" 26
"Lower secondary completion rate, male (% of relevant age group)" 26
"Lower secondary completion rate, total (% of relevant age group)" 26
"Machinery and transport equipment (% of value added in manufacturing)" 34
"Mammal species, threatened" 1
"Manufactures exports (% of merchandise exports)" 54
"Manufactures imports (% of merchandise imports)" 54
"Manufacturing, value added (% of GDP)" 51
"Manufacturing, value added (annual % growth)" 50
"Manufacturing, value added (constant 2010 US$)" 51
"Manufacturing, value added (constant LCU)" 51
"Manufacturing, value added (current LCU)" 51
"Manufacturing, value added (current US$)" 51
"Marine protected areas (% of territorial waters)" 3
"Market capitalization of listed domestic companies (% of GDP)" 6
"Market capitalization of listed domestic companies (current US$)" 6
"Maternal mortality ratio (modeled estimate, per 100,000 live births)" 26
"Maternal mortality ratio (national estimate, per 100,000 live births)" 1
"Merchandise exports (current US$)" 56
"Merchandise exports by the reporting economy (current US$)" 55
"Merchandise exports by the reporting economy, residual (% of total merchandise exports)" 55
"Merchandise exports to economies in the Arab World (% of total merchandise exports)" 55
"Merchandise exports to high-income economies (% of total merchandise exports)" 55
"Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports)" 55
"Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports)" 17
"Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports)" 55
"Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports)" 55
"Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports)" 55
"Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports)" 55
"Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports)" 55
"Merchandise exports to low- and middle-income economies within region (% of total merchandise exports)" 55
"Merchandise imports (current US$)" 56
"Merchandise imports by the reporting economy (current US$)" 55
"Merchandise imports by the reporting economy, residual (% of total merchandise imports)" 55
"Merchandise imports from economies in the Arab World (% of total merchandise imports)" 55
"Merchandise imports from high-income economies (% of total merchandise imports)" 55
"Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports)" 31
"Merchandise imports from low- and middle-income economies in Europe & Central Asia (% of total merchandise imports)" 17
"Merchandise imports from low- and middle-income economies in Latin America & the Caribbean (% of total merchandise imports)" 55
"Merchandise imports from low- and middle-income economies in Middle East & North Africa (% of total merchandise imports)" 55
"Merchandise imports from low- and middle-income economies in South Asia (% of total merchandise imports)" 55
"Merchandise imports from low- and middle-income economies in Sub-Saharan Africa (% of total merchandise imports)" 55
"Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports)" 55
"Merchandise imports from low- and middle-income economies within region (% of total merchandise imports)" 55
"Merchandise trade (% of GDP)" 51
"Methane emissions (% change from 1990)" 22
"Methane emissions (kt of CO2 equivalent)" 43
"Methane emissions in energy sector (thousand metric tons of CO2 equivalent)" 39
"Methodology assessment of statistical capacity (scale 0 - 100)" 13
"Military expenditure (% of central government expenditure)" 23
"Military expenditure (% of GDP)" 28
"Military expenditure (current LCU)" 28
"Mineral rents (% of GDP)" 46
"Mobile account (% age 15+) [w2]" 1
"Mobile account, female (% age 15+) [w2]" 1
"Mobile account, income, poorest 40% (% ages 15+) [w2]" 1
"Mobile account, income, richest 60% (% ages 15+) [w2]" 1
"Mobile account, male (% age 15+) [w2]" 1
"Mobile cellular subscriptions" 42
"Mobile cellular subscriptions (per 100 people)" 42
"Mortality caused by road traffic injury (per 100,000 people)" 1
"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)" 2
"Mortality rate, adult, female (per 1,000 female adults)" 55
"Mortality rate, adult, male (per 1,000 male adults)" 55
"Mortality rate, infant (per 1,000 live births)" 54
"Mortality rate, infant, female (per 1,000 live births)" 4
"Mortality rate, infant, male (per 1,000 live births)" 4
"Mortality rate, neonatal (per 1,000 live births)" 26
"Mortality rate, under-5 (per 1,000 live births)" 54
"Mortality rate, under-5, female (per 1,000 live births)" 4
"Mortality rate, under-5, male (per 1,000 live births)" 4
"Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no)" 4
"Multilateral debt (% of total external debt)" 46
"Multilateral debt service (% of public and publicly guaranteed debt service)" 46
"Multilateral debt service (TDS, current US$)" 46
"Natural gas rents (% of GDP)" 46
"Net acquisition of financial assets (% of GDP)" 0
"Net acquisition of financial assets (current LCU)" 0
"Net barter terms of trade index (2000 = 100)" 36
"Net bilateral aid flows from DAC donors, Australia (current US$)" 7
"Net bilateral aid flows from DAC donors, Austria (current US$)" 51
"Net bilateral aid flows from DAC donors, Belgium (current US$)" 50
"Net bilateral aid flows from DAC donors, Canada (current US$)" 50
"Net bilateral aid flows from DAC donors, Czech Republic (current US$)" 9
"Net bilateral aid flows from DAC donors, Denmark (current US$)" 36
"Net bilateral aid flows from DAC donors, European Union institutions (current US$)" 46
"Net bilateral aid flows from DAC donors, Finland (current US$)" 34
"Net bilateral aid flows from DAC donors, France (current US$)" 54
"Net bilateral aid flows from DAC donors, Germany (current US$)" 55
"Net bilateral aid flows from DAC donors, Greece (current US$)" 19
"Net bilateral aid flows from DAC donors, Iceland (current US$)" 0
"Net bilateral aid flows from DAC donors, Ireland (current US$)" 6
"Net bilateral aid flows from DAC donors, Italy (current US$)" 55
"Net bilateral aid flows from DAC donors, Japan (current US$)" 41
"Net bilateral aid flows from DAC donors, Korea, Rep. (current US$)" 24
"Net bilateral aid flows from DAC donors, Luxembourg (current US$)" 23
"Net bilateral aid flows from DAC donors, Netherlands (current US$)" 49
"Net bilateral aid flows from DAC donors, New Zealand (current US$)" 1
"Net bilateral aid flows from DAC donors, Norway (current US$)" 28
"Net bilateral aid flows from DAC donors, Poland (current US$)" 9
"Net bilateral aid flows from DAC donors, Portugal (current US$)" 18
"Net bilateral aid flows from DAC donors, Slovak Republic (current US$)" 3
"Net bilateral aid flows from DAC donors, Slovenia (current US$)" 1
"Net bilateral aid flows from DAC donors, Spain (current US$)" 28
"Net bilateral aid flows from DAC donors, Sweden (current US$)" 50
"Net bilateral aid flows from DAC donors, Switzerland (current US$)" 53
"Net bilateral aid flows from DAC donors, Total (current US$)" 55
"Net bilateral aid flows from DAC donors, United Kingdom (current US$)" 47
"Net bilateral aid flows from DAC donors, United States (current US$)" 55
"Net capital account (BoP, current US$)" 23
"Net change in interest arrears (current US$)" 27
"Net current transfers from abroad (constant LCU)" 0
"Net current transfers from abroad (current LCU)" 23
"Net current transfers from abroad (current US$)" 23
"Net domestic credit (current LCU)" 56
"Net enrolment rate, primary, both sexes (%)" 37
"Net enrolment rate, secondary, both sexes (%)" 6
"Net errors and omissions (BoP, current US$)" 40
"Net financial account (BoP, current US$)" 40
"Net financial flows, bilateral (NFL, current US$)" 46
"Net financial flows, IBRD (NFL, current US$)" 46
"Net financial flows, IDA (NFL, current US$)" 46
"Net financial flows, IMF concessional (NFL, current US$)" 7
"Net financial flows, IMF nonconcessional (NFL, current US$)" 16
"Net financial flows, multilateral (NFL, current US$)" 46
"Net financial flows, others (NFL, current US$)" 40
"Net financial flows, RDB concessional (NFL, current US$)" 1
"Net financial flows, RDB nonconcessional (NFL, current US$)" 45
"Net flows on external debt, long-term (NFL, current US$)" 46
"Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)" 39
"Net flows on external debt, public and publicly guaranteed (PPG) (NFL, current US$)" 46
"Net flows on external debt, short-term (NFL, current US$)" 46
"Net flows on external debt, total (NFL, current US$)" 46
"Net foreign assets (current LCU)" 56
"Net income from abroad (constant LCU)" 0
"Net income from abroad (current LCU)" 51
"Net income from abroad (current US$)" 51
"Net incurrence of liabilities, total (% of GDP)" 0
"Net incurrence of liabilities, total (current LCU)" 0
"Net intake rate in grade 1, female (% of official school-age population)" 11
"Net intake rate in grade 1, male (% of official school-age population)" 11
"Net intake rate to Grade 1 of primary education, both sexes (%)" 11
"Net investment in nonfinancial assets (% of GDP)" 0
"Net investment in nonfinancial assets (current LCU)" 0
"Net lending (+) / net borrowing (-) (% of GDP)" 0
"Net lending (+) / net borrowing (-) (current LCU)" 0
"Net migration" 11
"Net ODA received (% of central government expense)" 23
"Net ODA received (% of GNI)" 50
"Net ODA received (% of gross capital formation)" 50
"Net ODA received (% of imports of goods, services and primary income)" 39
"Net ODA received per capita (current US$)" 55
"Net official aid received (constant 2013 US$)" 0
"Net official aid received (current US$)" 0
"Net official development assistance and official aid received (constant 2013 US$)" 55
"Net official development assistance and official aid received (current US$)" 55
"Net official development assistance received (constant 2013 US$)" 55
"Net official development assistance received (current US$)" 55
"Net official flows from UN agencies, IAEA (current US$)" 9
"Net official flows from UN agencies, IFAD (current US$)" 34
"Net official flows from UN agencies, UNAIDS (current US$)" 8
"Net official flows from UN agencies, UNDP (current US$)" 47
"Net official flows from UN agencies, UNECE (current US$)" 0
"Net official flows from UN agencies, UNFPA (current US$)" 36
"Net official flows from UN agencies, UNHCR (current US$)" 32
"Net official flows from UN agencies, UNICEF (current US$)" 45
"Net official flows from UN agencies, UNPBF (current US$)" 0
"Net official flows from UN agencies, UNRWA (current US$)" 0
"Net official flows from UN agencies, UNTA (current US$)" 40
"Net official flows from UN agencies, WFP (current US$)" 34
"Net official flows from UN agencies, WHO (current US$)" 4
"Net primary income (BoP, current US$)" 40
"Net secondary income (BoP, current US$)" 40
"Net taxes on products (constant LCU)" 16
"Net taxes on products (current LCU)" 51
"Net taxes on products (current US$)" 51
"Net trade in goods (BoP, current US$)" 40
"Net trade in goods and services (BoP, current US$)" 40
"Net transfers on external debt, long-term (NTR, current US$)" 46
"Net transfers on external debt, private nonguaranteed (PNG) (NTR, current US$)" 39
"Net transfers on external debt, public and publicly guaranteed (PPG) (NTR, current US$)" 46
"Net transfers on external debt, total (NTR, current US$)" 46
"New business density (new registrations per 1,000 people ages 15-64)" 9
"New businesses registered (number)" 9
"Newborns protected against tetanus (%)" 36
"Nitrous oxide emissions (% change from 1990)" 22
"Nitrous oxide emissions (thousand metric tons of CO2 equivalent)" 43
"Nitrous oxide emissions in energy sector (% of total)" 39
"Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent)" 39
"Nondiscrimination clause mentions gender in the constitution (1=yes; 0=no)" 3
"Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no)" 4
"Number of infant deaths" 54
"Number of maternal deaths" 26
"Number of neonatal deaths" 26
"Number of surgical procedures (per 100,000 population)" 1
"Number of under-five deaths" 54
"Number of visits or required meetings with tax officials" 1
"Nurses and midwives (per 1,000 people)" 5
"Official entrance age to lower secondary education (years)" 17
"Official entrance age to primary education (years)" 46
"Official exchange rate (LCU per US$, period average)" 56
"Oil rents (% of GDP)" 46
"Ores and metals exports (% of merchandise exports)" 54
"Ores and metals imports (% of merchandise imports)" 54
"Other expense (% of expense)" 19
"Other expense (current LCU)" 19
"Other greenhouse gas emissions (% change from 1990)" 22
"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)" 43
"Other manufacturing (% of value added in manufacturing)" 41
"Other taxes (% of revenue)" 41
"Other taxes (current LCU)" 41
"Other taxes payable by businesses (% of commercial profits)" 3
"Out-of-pocket health expenditure (% of private expenditure on health)" 20
"Out-of-pocket health expenditure (% of total expenditure on health)" 20
"Out-of-school children of primary school age, both sexes (number)" 37
"Over-age students, primary (% of enrollment)" 22
"Over-age students, primary, female (% of female enrollment)" 22
"Over-age students, primary, male (% of male enrollment)" 22
"Overall level of statistical capacity (scale 0 - 100)" 13
"Part time employment, female (% of total female employment)" 0
"Part time employment, female (% of total part time employment)" 0
"Part time employment, male (% of total male employment)" 0
"Part time employment, total (% of total employment)" 0
"Patent applications, nonresidents" 50
"Patent applications, residents" 50
"People practicing open defecation (% of population)" 26
"People practicing open defecation, rural (% of rural population)" 26
"People practicing open defecation, urban (% of urban population)" 26
"Percentage of enrolment in primary education in private institutions (%)" 39
"Percentage of enrolment in secondary education in private institutions (%)" 15
"Percentage of female teachers in primary education who are trained, female (%)" 3
"Percentage of female teachers in secondary education who are trained, female (%)" 0
"Percentage of male teachers in primary education who are trained, male (%)" 3
"Percentage of male teachers in secondary education who are trained, male (%)" 0
"Percentage of repeaters in primary education, all grades, both sexes (%)" 41
"Percentage of repeaters in primary education, all grades, female (%)" 36
"Percentage of repeaters in primary education, all grades, male (%)" 36
"Percentage of students in secondary general education who are female (%)" 42
"Percentage of students in secondary vocational education who are female (%)" 35
"Percentage of teachers in primary education who are trained, both sexes (%)" 3
"Percentage of teachers in secondary education who are trained, both sexes (%)" 0
"Periodicity and timeliness assessment of statistical capacity (scale 0 - 100)" 13
"Permanent cropland (% of land area)" 54
"Persistence to grade 5, female (% of cohort)" 29
"Persistence to grade 5, male (% of cohort)" 29
"Personal remittances, paid (current US$)" 40
"Personal remittances, received (% of GDP)" 40
"Personal remittances, received (current US$)" 40
"Personal transfers, receipts (BoP, current US$)" 40
"PFC gas emissions (thousand metric tons of CO2 equivalent)" 5
"Physicians (per 1,000 people)" 27
"Plant species (higher), threatened" 1
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)" 10
"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)" 10
"PNG, bonds (AMT, current US$)" 0
"PNG, bonds (DIS, current US$)" 0
"PNG, bonds (DOD, current US$)" 0
"PNG, bonds (INT, current US$)" 0
"PNG, bonds (NFL, current US$)" 0
"PNG, bonds (NTR, current US$)" 0
"PNG, bonds (TDS, current US$)" 0
"PNG, commercial banks and other creditors (AMT, current US$)" 39
"PNG, commercial banks and other creditors (DIS, current US$)" 37
"PNG, commercial banks and other creditors (DOD, current US$)" 39
"PNG, commercial banks and other creditors (INT, current US$)" 37
"PNG, commercial banks and other creditors (NFL, current US$)" 39
"PNG, commercial banks and other creditors (NTR, current US$)" 39
"PNG, commercial banks and other creditors (TDS, current US$)" 39
"Point-of-sale terminals (per 100,000 adults)" 1
"Population ages 0-14 (% of total)" 56
"Population ages 15-64 (% of total)" 56
"Population ages 65 and above (% of total)" 56
"Population density (people per sq. km of land area)" 55
"Population growth (annual %)" 56
"Population in largest city" 56
"Population in the largest city (% of urban population)" 56
"Population in urban agglomerations of more than 1 million" 56
"Population in urban agglomerations of more than 1 million (% of total population)" 56
"Population living in areas where elevation is below 5 meters (% of total population)" 3
"Population living in slums, (% of urban population)" 1
"Population, female (% of total)" 56
"Population, total" 56
"Portfolio equity, net inflows (BoP, current US$)" 40
"Portfolio investment, bonds (PPG + PNG) (NFL, current US$)" 39
"Portfolio Investment, net (BoP, current US$)" 40
"Poverty gap at $1.90 a day (2011 PPP) (%)" 6
"Poverty gap at $3.10 a day (2011 PPP) (%)" 6
"Poverty gap at national poverty lines (%)" 3
"Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)" 6
"Poverty headcount ratio at $3.10 a day (2011 PPP) (% of population)" 6
"Poverty headcount ratio at national poverty lines (% of population)" 3
"Power outages in firms in a typical month (number)" 1
"PPG, bilateral (AMT, current US$)" 47
"PPG, bilateral (DIS, current US$)" 47
"PPG, bilateral (DOD, current US$)" 46
"PPG, bilateral (INT, current US$)" 47
"PPG, bilateral (NTR, current US$)" 46
"PPG, bilateral (TDS, current US$)" 46
"PPG, bilateral concessional (AMT, current US$)" 46
"PPG, bilateral concessional (DIS, current US$)" 46
"PPG, bilateral concessional (DOD, current US$)" 46
"PPG, bilateral concessional (INT, current US$)" 46
"PPG, bilateral concessional (NFL, current US$)" 46
"PPG, bilateral concessional (NTR, current US$)" 46
"PPG, bilateral concessional (TDS, current US$)" 46
"PPG, bonds (AMT, current US$)" 34
"PPG, bonds (DIS, current US$)" 23
"PPG, bonds (DOD, current US$)" 42
"PPG, bonds (INT, current US$)" 43
"PPG, bonds (NFL, current US$)" 39
"PPG, bonds (NTR, current US$)" 42
"PPG, bonds (TDS, current US$)" 42
"PPG, commercial banks (AMT, current US$)" 39
"PPG, commercial banks (DIS, current US$)" 40
"PPG, commercial banks (DOD, current US$)" 40
"PPG, commercial banks (INT, current US$)" 40
"PPG, commercial banks (NFL, current US$)" 39
"PPG, commercial banks (NTR, current US$)" 39
"PPG, commercial banks (TDS, current US$)" 39
"PPG, IBRD (AMT, current US$)" 46
"PPG, IBRD (DIS, current US$)" 46
"PPG, IBRD (DOD, current US$)" 46
"PPG, IBRD (INT, current US$)" 46
"PPG, IBRD (NTR, current US$)" 46
"PPG, IBRD (TDS, current US$)" 46
"PPG, IDA (AMT, current US$)" 44
"PPG, IDA (DIS, current US$)" 30
"PPG, IDA (DOD, current US$)" 46
"PPG, IDA (INT, current US$)" 46
"PPG, IDA (NTR, current US$)" 46
"PPG, IDA (TDS, current US$)" 46
"PPG, multilateral (AMT, current US$)" 47
"PPG, multilateral (DIS, current US$)" 47
"PPG, multilateral (DOD, current US$)" 46
"PPG, multilateral (INT, current US$)" 47
"PPG, multilateral (NTR, current US$)" 46
"PPG, multilateral concessional (AMT, current US$)" 44
"PPG, multilateral concessional (DIS, current US$)" 46
"PPG, multilateral concessional (DOD, current US$)" 46
"PPG, multilateral concessional (INT, current US$)" 46
"PPG, multilateral concessional (NFL, current US$)" 46
"PPG, multilateral concessional (NTR, current US$)" 46
"PPG, multilateral concessional (TDS, current US$)" 46
"PPG, official creditors (AMT, current US$)" 47
"PPG, official creditors (DIS, current US$)" 47
"PPG, official creditors (DOD, current US$)" 46
"PPG, official creditors (INT, current US$)" 47
"PPG, official creditors (NFL, current US$)" 46
"PPG, official creditors (NTR, current US$)" 46
"PPG, official creditors (TDS, current US$)" 46
"PPG, other private creditors (AMT, current US$)" 47
"PPG, other private creditors (DIS, current US$)" 47
"PPG, other private creditors (DOD, current US$)" 46
"PPG, other private creditors (INT, current US$)" 47
"PPG, other private creditors (NFL, current US$)" 46
"PPG, other private creditors (NTR, current US$)" 46
"PPG, other private creditors (TDS, current US$)" 46
"PPG, private creditors (AMT, current US$)" 47
"PPG, private creditors (DIS, current US$)" 47
"PPG, private creditors (DOD, current US$)" 46
"PPG, private creditors (INT, current US$)" 47
